LIMS_ID,Service_ID,Service_Name,Table_ID
8,10202,-ZIFO AT CENTER HYBRID PACKAGE ABOVE 40 FEMALE (MFCHC 1286),8_10202
8,10203,-ZIFO COMPLETE AT CENTER PACKAGE BELOW 30 (MFCHC 1286)	,8_10203
8,10204,-ZIFO COMPLETE AT CENTER PACKAGE 30-40 (MFCHC 1286),8_10204
8,10205,-ZIFO COMPLETE AT CENTER PACKAGE ABOVE 40 MALE (MFCHC 1286),8_10205
8,10206,-ZIFO COMPLETE AT CENTER PACKAGE ABOVE 40 FEMALE (MFCHC 1286),8_10206
8,10207,sRNA 4 GB-Small RNA Sequencing - 4 GB,8_10207
8,10208,-23AM-01HC HEALTHI,8_10208
8,10209,-23AM-02HC HEALTHI,8_10209
8,1021,-Health Examination,8_1021
100,1021,-Health Examination,100_1021
8,10210,-23AM-03HC HEALTHI,8_10210
8,10211,-23AM-04HC HEALTHI,8_10211
8,10212,-D-DSA by Luminex (HLA Cross Match)DSA-by Luminex | GS077,8_10212
8,10213,-Emergency charges,8_10213
8,10214,-D-Flow Cross Match T and B Cells,8_10214
8,10215,-D-CDC Crossmatch(Lymphocyte),8_10215
8,10216,-CDC Cross Match (T&B Cells) and Auto Crossmatch,8_10216
8,10217,10217-Plan A with X Ray,8_10217
8,10218,-Tata Project Pkg 1 Below 35 Years (Male & Female) Complete,8_10218
8,10219,-Tata Project Pkg 2 Male Above 35 Years Complete,8_10219
8,1022,T2402-Warfarin GenotypingCYP2C9 | CYP2C9 AND VKORC1 MUTATIONS | GS074 | VKORC1 | warfarin,8_1022
100,1022,T2402-Warfarin Genotyping,100_1022
8,10220,10220-Tata Project Pkg 3 Female Above 35 Years Complete,8_10220
8,10221,-Tata Project Pkg 4 (Radiology ) Below 35 Years (Male & Female),8_10221
8,10222,10222-Tata Project Pkg 5 (Radiology ) Male Above 35 Years,8_10222
8,10223,10223-Tata Project Pkg 5 (Radiology ) Female Above 35 Years,8_10223
8,10224,-Tata Project Parental Package 7 Male Test Parametres Complete,8_10224
8,10225,-Tata Project Parental Package 8 Female Test Parameters Complete,8_10225
8,10226,-Tata Project Parental Package 9 Male Test Parametres (Radiology ),8_10226
8,10227,-Krishna Hospital Ante Natal Profile + TSHANP,8_10227
8,10228,10228-Krishna Hospital Pre op minorMinor,8_10228
8,10229,-Tata Project Parental Package 10 Female Test Parameters (Radiology ),8_10229
8,1023,T3235-Tacrolimus Mutation Study For CYP3A4CYP3A4 | CYP3A4 mutation study | Cytochrome P450 3A4 | G0045 | tacrolimus,8_1023
100,1023,T3235-Tacrolimus Mutation Study For CYP3A4,100_1023
8,10230,-Krishna Hospital Comprehensive ProfileANP,8_10230
8,10231,10231-Plan A without X Ray,8_10231
8,10232,10232-Plan B Vaccination,8_10232
8,10233,-CNH - Gillette ,8_10233
